Periode;Open
1;222.529999
2;217.259995
3;212.169998
4;214.039993
5;218.679993
6;218.470001
7;216.5
8;214.020004
9;215.910004
10;213.520004
11;213.75
12;217.699997
13;224.699997
14;227.080002
15;229.119995
16;231.860001
17;238
18;235.610001
19;235.990005
20;235.059998
21;241.300003
22;239.570007
23;242.660004
24;242.229996
25;243.149994
26;241.869995
27;245
28;244.779999
29;243.929993
30;245.029999
31;241.320007
32;241.800003
33;243.75
34;237.419998
35;230.330002
36;230.009995
37;232.080002
38;231.529999
39;235.899994
40;237.009995
41;232.160004
42;226.740005
43;229.520004
44;231.369995
45;232.880005
46;237
47;234.960007
48;234.009995
49;234.960007
50;236.279999
51;236.149994
52;232.559998
53;231.020004
54;230.270004
55;237.490005
56;237.850006
57;235.300003
58;231.550003
59;236.589996
60;233.529999
61;232.910004
62;238.470001
63;242.759995
64;247.610001
65;247.809998
66;252.770004
67;252.869995
68;254.710007
69;257.26001
70;257.480011
71;257.929993
72;259.470001
73;260.190002
74;257.820007
75;258.940002
76;260.209991
77;257.880005
78;261.660004
79;261.579987
80;256.079987
81;255.460007
82;249.740005
83;253.399994
84;250.970001
85;249.059998
86;246.449997
87;252.149994
88;250.869995
89;244.550003
90;242.169998
91;241.800003
92;245.580002
93;246.550003
94;246.270004
95;239.309998
96;243.960007
97;247.570007
98;247.789993
99;251.770004
100;251.429993
101;251.169998
102;251
103;251.229996
104;248.130005
105;245.220001
106;247.759995
107;249.979996
108;255.160004
109;253.809998
110;254.289993
111;257.98999
112;257.899994
113;259.769989
114;259.399994
115;256.070007
116;259.630005
117;259.820007
118;262.720001
119;265.98999
120;266.160004
121;266.230011
122;266.190002
123;268.869995
124;270.690002
125;269.609985
126;272.820007
127;278.029999
128;279.399994
129;276.899994
130;275.720001
131;279.160004
132;277.519989
133;282.350006
134;282
135;282.070007
136;278.929993
137;278.029999
138;278.899994
139;283.839996
140;287.369995
141;289
142;289.429993
143;288.98999
144;286.23999
145;285.170013
146;286.359985
147;285.420013
148;286.220001
149;286.880005
150;288.51001
151;289.75
152;288.799988
153;287.209991
154;286.630005
155;289.480011
156;293.190002
157;292.390015
158;292.040009
159;288.690002
160;299.720001
161;303.25
162;305.019989
163;304.299988
164;300.98999
165;298.98999
166;301.119995
167;304.420013
168;302.869995
169;302.200012
170;300.98999
171;301.01001
172;299.779999
173;300.820007
174;298.420013
175;297.549988
176;299.559998
177;303.26001
178;303.76001
179;304.170013
180;296.329987
181;295.690002
182;296.730011
183;298.850006
184;298.230011
185;296.140015
186;289.799988
187;285.100006
188;285.709991
189;282.119995
190;287.399994
191;284.049988
192;285.779999
193;295.179993
194;296.220001
195;292.920013
196;295.339996
197;294.910004
198;299.209991
199;302.339996
200;303.570007
201;308.350006
202;309.209991
203;307.170013
204;310.399994
205;309.359985
206;311
207;316
208;324.329987
209;324.130005
210;331.359985
211;330.309998
212;333.899994
213;332.890015
214;338.51001
215;337.299988
216;337.109985
217;334.570007
218;331.25
219;333.920013
220;337.540009
221;335.679993
222;338.940002
223;338.179993
224;342.640015
225;344.619995
226;337.049988
227;336.279999
228;334.350006
229;334.940002
230;335.320007
